City,Date,MinTemp,MaxTemp,Humidity,Pressure,WindSpeed,Condition
Bagalkote,2023-01-01,15.2,24.9,33,1001.5,12.1,Sunny
Bagalkote,2023-01-02,12.5,25.5,38,1005.2,12.1,Sunny
Bagalkote,2023-01-03,11.9,21.9,34,1003.1,11.3,Sunny
Bagalkote,2023-01-04,10.9,22.4,27,1001.7,8.0,Sunny
Bagalkote,2023-01-05,12.4,22.0,33,1002.2,16.7,Sunny
Bagalkote,2023-01-06,11.1,24.0,45,1000.9,19.2,Sunny
Bagalkote,2023-01-07,13.9,23.7,31,1006.8,14.4,Sunny
Bagalkote,2023-01-08,10.7,24.6,33,1004.2,14.1,Sunny
Bagalkote,2023-01-09,10.9,25.0,25,1001.1,8.5,Sunny
Bagalkote,2023-01-10,12.8,25.6,44,1007.3,13.3,Sunny
Bagalkote,2023-01-11,12.8,21.3,33,1003.5,10.7,Sunny
Bagalkote,2023-01-12,11.3,24.5,35,1008.9,9.5,Sunny
Bagalkote,2023-01-13,13.6,21.9,32,1001.2,13.0,Sunny
Bagalkote,2023-01-14,10.0,23.9,42,1005.9,10.8,Sunny
Bagalkote,2023-01-15,11.0,23.3,38,1001.5,11.1,Sunny
Bagalkote,2023-01-16,12.9,23.5,33,999.9,16.1,Sunny
Bagalkote,2023-01-17,12.4,25.0,39,1006.7,10.9,Sunny
Bagalkote,2023-01-18,13.0,24.1,28,1004.7,12.7,Sunny
Bagalkote,2023-01-19,10.3,24.9,39,1004.5,9.3,Sunny
Bagalkote,2023-01-20,11.2,23.8,25,1005.8,14.6,Sunny
Bagalkote,2023-01-21,12.9,24.3,36,1003.3,16.4,Sunny
Bagalkote,2023-01-22,12.7,21.9,32,1006.7,12.8,Sunny
Bagalkote,2023-01-23,12.4,25.4,34,1002.7,14.0,Sunny
Bagalkote,2023-01-24,13.6,24.0,35,1008.0,24.4,Sunny
Bagalkote,2023-01-25,10.5,20.9,29,1004.8,6.2,Sunny
Bagalkote,2023-01-26,12.1,24.9,34,1001.4,21.3,Sunny
Bagalkote,2023-01-27,12.2,24.8,40,1005.1,10.3,Sunny
Bagalkote,2023-01-28,11.6,21.0,35,1004.6,14.3,Sunny
Bagalkote,2023-01-29,13.7,22.7,32,1008.5,15.2,Sunny
Bagalkote,2023-01-30,13.8,22.0,41,1007.7,18.7,Sunny
Bagalkote,2023-01-31,11.6,22.4,44,1003.9,15.6,Sunny
Bagalkote,2023-02-01,10.5,23.0,40,1004.7,14.7,Sunny
Bagalkote,2023-02-02,10.2,22.9,38,1004.6,15.2,Sunny
Bagalkote,2023-02-03,12.4,23.5,30,1000.7,15.8,Sunny
Bagalkote,2023-02-04,10.9,24.1,34,1008.4,17.1,Sunny
Bagalkote,2023-02-05,14.4,22.6,40,1002.6,17.1,Sunny
Bagalkote,2023-02-06,14.5,23.5,34,1002.8,2.0,Sunny
Bagalkote,2023-02-07,12.4,24.3,34,1006.9,16.4,Sunny
Bagalkote,2023-02-08,12.5,25.1,41,1008.9,20.3,Sunny
Bagalkote,2023-02-09,13.7,21.1,35,1005.8,12.1,Sunny
Bagalkote,2023-02-10,12.7,23.1,35,1001.3,16.8,Sunny
Bagalkote,2023-02-11,11.3,24.6,35,1007.2,17.8,Sunny
Bagalkote,2023-02-12,13.6,23.7,30,1003.8,15.5,Sunny
Bagalkote,2023-02-13,13.8,23.0,45,1002.9,12.7,Sunny
Bagalkote,2023-02-14,12.6,25.7,31,1002.7,12.0,Sunny
Bagalkote,2023-02-15,11.5,23.1,36,1008.0,6.8,Sunny
Bagalkote,2023-02-16,12.9,22.2,35,1005.4,4.7,Sunny
Bagalkote,2023-02-17,10.9,24.9,38,1006.2,13.0,Sunny
Bagalkote,2023-02-18,13.2,20.7,38,1003.0,16.6,Sunny
Bagalkote,2023-02-19,10.6,24.3,34,1009.9,13.0,Sunny
Bagalkote,2023-02-20,12.4,26.3,35,1002.4,17.7,Sunny
Bagalkote,2023-02-21,11.5,23.4,34,1006.1,11.2,Sunny
Bagalkote,2023-02-22,11.3,22.7,31,1005.8,10.6,Sunny
Bagalkote,2023-02-23,10.6,23.8,34,1001.4,19.5,Sunny
Bagalkote,2023-02-24,12.3,22.5,32,1008.6,9.2,Sunny
Bagalkote,2023-02-25,12.3,25.0,40,1008.3,16.9,Sunny
Bagalkote,2023-02-26,12.7,21.9,39,1002.4,9.5,Sunny
Bagalkote,2023-02-27,13.4,24.0,38,1009.5,8.6,Sunny
Bagalkote,2023-02-28,12.3,20.3,40,1002.6,4.8,Sunny
Bagalkote,2023-03-01,26.0,38.1,29,1007.0,20.5,Sunny
Bagalkote,2023-03-02,24.2,39.7,25,1002.5,16.7,Sunny
Bagalkote,2023-03-03,24.6,38.1,28,1005.2,24.1,Sunny
Bagalkote,2023-03-04,22.8,38.3,25,1005.1,16.5,Sunny
Bagalkote,2023-03-05,23.0,37.7,28,1007.1,18.1,Sunny
Bagalkote,2023-03-06,25.2,36.8,30,1002.8,13.0,Sunny
Bagalkote,2023-03-07,23.3,37.0,25,1002.9,10.1,Sunny
Bagalkote,2023-03-08,23.5,39.4,27,1007.5,21.9,Sunny
Bagalkote,2023-03-09,22.5,38.5,25,1006.6,19.8,Sunny
Bagalkote,2023-03-10,25.1,41.0,25,1002.5,21.3,Sunny
Bagalkote,2023-03-11,22.9,38.4,25,1007.5,17.3,Sunny
Bagalkote,2023-03-12,23.5,36.2,30,1004.3,20.0,Sunny
Bagalkote,2023-03-13,24.3,37.1,25,1007.4,18.0,Sunny
Bagalkote,2023-03-14,25.1,35.9,27,1002.7,23.4,Sunny
Bagalkote,2023-03-15,23.2,40.1,32,1008.8,16.8,Sunny
Bagalkote,2023-03-16,24.8,39.2,32,1005.6,18.4,Sunny
Bagalkote,2023-03-17,24.5,39.7,25,1005.2,16.3,Sunny
Bagalkote,2023-03-18,22.7,38.0,27,1007.5,18.8,Sunny
Bagalkote,2023-03-19,22.6,38.6,33,1006.8,18.1,Windy
Bagalkote,2023-03-20,23.5,37.9,35,1008.9,21.2,Windy
Bagalkote,2023-03-21,22.8,40.2,35,1006.5,18.1,Sunny
Bagalkote,2023-03-22,22.7,39.1,39,1007.2,18.7,Cloudy
Bagalkote,2023-03-23,23.5,39.7,26,1007.4,18.4,Sunny
Bagalkote,2023-03-24,25.3,38.9,40,1005.7,17.9,Windy
Bagalkote,2023-03-25,21.1,37.7,70,1005.2,19.3,Rainy
Bagalkote,2023-03-26,23.0,40.0,30,1006.5,19.9,Sunny
Bagalkote,2023-03-27,24.9,37.5,26,1003.2,18.4,Sunny
Bagalkote,2023-03-28,26.9,36.7,32,1006.1,18.8,Sunny
Bagalkote,2023-03-29,24.8,36.1,28,1011.9,19.3,Cloudy
Bagalkote,2023-03-30,23.5,38.0,33,1007.9,13.1,Sunny
Bagalkote,2023-03-31,22.0,37.0,34,1007.1,16.0,Windy
Bagalkote,2023-04-01,25.2,36.8,25,1006.4,17.8,Sunny
Bagalkote,2023-04-02,22.0,35.1,25,1005.4,11.6,Sunny
Bagalkote,2023-04-03,22.5,37.6,25,1007.6,16.9,Sunny
Bagalkote,2023-04-04,25.7,39.8,38,1005.7,17.4,Windy
Bagalkote,2023-04-05,23.5,38.2,39,1005.6,11.5,Cloudy
Bagalkote,2023-04-06,23.1,37.9,32,1003.7,17.5,Sunny
Bagalkote,2023-04-07,23.2,37.5,27,1010.2,14.7,Sunny
Bagalkote,2023-04-08,24.3,38.3,25,1007.4,12.1,Sunny
Bagalkote,2023-04-09,23.4,37.9,25,1009.3,14.2,Sunny
Bagalkote,2023-04-10,24.9,37.9,25,1007.1,18.5,Sunny
Bagalkote,2023-04-11,22.0,35.7,25,1001.7,21.3,Sunny
Bagalkote,2023-04-12,21.4,35.7,27,1006.2,25.6,Sunny
Bagalkote,2023-04-13,23.4,40.7,29,1005.1,19.7,Sunny
Bagalkote,2023-04-14,24.7,37.2,32,1003.3,20.7,Sunny
Bagalkote,2023-04-15,24.1,36.5,25,1003.5,18.0,Cloudy
Bagalkote,2023-04-16,25.1,39.4,25,1001.8,18.4,Sunny
Bagalkote,2023-04-17,25.4,38.4,25,1006.3,17.2,Sunny
Bagalkote,2023-04-18,23.9,37.4,25,1004.5,19.0,Sunny
